Input.num,Translation
407,"""Ich bin nicht perfekt, Harry, aber ich glaube, ich habe meinen Tod als Teil von mir akzeptiert."""
408,",,Aha"", sagte Harry."
408,"""Ja"", sagte Harry."
409,"""Es gibt diese Kleinigkeit namens kognitive Dissonanz oder einfacher formuliert: saure Weintrauben."
409,"""Sehen Sie, es gibt da diese kleine Sache, die man kognitive Dissonanz nennt, oder einfacher ausgedrückt: saure Trauben."
411,"Wie zum Beispiel, dass es dich härter macht oder du an den Tagen, an denen du nicht geschlagen wirst, glücklicher bist."
411,"Zum Beispiel macht es dich härter, oder es macht dich glücklicher an den Tagen, an denen du nicht mit einem Knüppel geschlagen wirst."
414,"Wieso also sollte irgendjemand auch nur im Entferntesten etwas so Albernes denken, wie, dass der Tod etwas Gutes sein könnte?"
414,"Warum also sollte irgendjemand auf den dummen Gedanken kommen, dass der Tod eine gute Sache ist?"
416,"""Nein Harry"" der alte zauberer sagte."
416,"""Nein, Harry"", sagte der alte Zauberer."
420,", sagte Harry mit fester und grimmiger Stimme."
420,"sagte Harry, seine Stimme war nun hart und grimmig."
422,Du nahmst das fürchterlichste alles Bösens und nanntest es gut!
422,Du hast das schlimmste aller Übel genommen und es gut genannt!
423,Mit nur ein bisschen Nachhilfe könnte dieser selbe Teil von dir Unschuldige ermorden und es als Freundschaft bezeichnen.
423,Mit einer leichten Drehung würde derselbe Teil von dir Unschuldige ermorden und es Freundschaft nennen.
424,"Wenn du den Tod besser als das Leben nennst, dann kannst du deinen moralischen Kompass in jede Richtung drehen -"""
424,"Wenn man den Tod besser als das Leben nennen kann, dann kann man seinen moralischen Kompass so verdrehen, dass er überall hinzeigt -"""
428,Der alte Zauberer lächelte nun und ein ein leichtes Lachen war in seiner Stimme zu hören.
428,"Der alte Zauberer lächelte jetzt, und in seiner Stimme lag ein leises Lachen."
434,"Du bist so alt und weise und dennoch kannst du nichts von dem, was ich sage, auch nur zur Kenntnis nehmen! Nicht Verstehen, zur Kenntnis Nehmen!?"""
434,"Du bist so alt und weise, dass du nicht einmal etwas von dem, was ich sage, mitbekommst! Nicht verstehen, merken!?"""
438,Harry konnte sich fast nicht davon zurückhalten es laut zu sagen.
438,"Harry konnte sich gerade noch zurückhalten, es laut auszusprechen."
440,",,Nun werde ich deine ursprüngliche Frage beantworten."
440,"""Dann werde ich Ihre ursprüngliche Frage beantworten."
447,"Denn das ist, was der Tod wirklich ist - die Vernichtung der Seele!"""
447,"Denn das ist es, was der Tod wirklich ist - die Auslöschung einer Seele!"""
449,",,Ich denke ich verstehe nun"", sagte er ruhig."
449,"""Ich glaube, ich verstehe jetzt"", sagte er leise."
450,",,Oh?"" sagte Harry. ,,Was verstehst du?"""
450,"""Oh?"", sagte Harry. ""Was verstehen?"""
451,",,Voldemort"", sagte der alte Zauberer."
451,"""Voldemort"", sagte der alte Zauberer."
454,"Ich habe dich gefragt, warum er zu einem Monster wurde und du konntest mir keinen Grund sagen."
454,"Ich habe Sie gefragt, warum er ein Monster geworden ist, und Sie konnten keinen Grund nennen."
457,",,Verrate mir, Harry"", sagte der alte Zauberer, ,,wirst du zu einem Monster werden?"""
457,"""Sag mal, Harry"", sagte der alte Zauberer, ""willst du ein Monster werden?"""
458,",,nein"", sagte der Junge mit eiserner Gewissheit in der Stimme."
458,"""Nein"", sagte der Junge mit eiserner Gewissheit in seiner Stimme."
459,"""Wieso nicht?"", fragte der alte Zauberer."
459,"""Warum nicht?"", sagte der alte Zauberer."
461,"Das Universum ist weder bösartig, noch barmherzig, es ist einfach gleichgültig."
461,"Das Universum ist weder böse noch gut, es ist ihm einfach egal."
463,Aber das müssen sie nicht! Uns kümmert es!
463,Aber das müssen sie nicht! Wir kümmern uns!
464,In der Welt gibt es Licht und es ist auch in uns!?
464,"Es gibt Licht in der Welt, und das sind wir!"""
465,",,Ich frage mich, was aus dir werden wird, Harry,"" sagte der alte Zauberer."
465,"""Ich frage mich, was aus dir werden soll, Harry"", sagte der alte Zauberer."
